Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,"האם לדעתך הייתה חוקיות מסוימת ששלטה בקפיצת העיגולים? אם כן, מה היא הייתה?",האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,"האם שמת לב לכך שלעתים העיגולים ""קפצו"" ממקומם? ",האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?,מה לדעתך הייתה מטרתה של הקפיצה?
197,418:2022-09-18 22:15:31.576,לא שמתי לב ,  ק,לא,החוקיות היחידה שראיתי זה שבכל פעם שלחצתי נכון יצא הבזק,ההבזקים קפצו אבל לא העיגולים ממה שראיתי,כן,לא קישרתי אבל עברו כמה שניות שחשבתי על זה וניסיתי לחשוב אם הלבן נטה לכיוון מסוים ולא הגעתי למסקנה חד משמעית,מטרת הניסוי הייתה אמורה להיות למידה ממשוב אך לא הצלחתי לקשר את הניסוי למטרתו,עברו רגעים שחשבתי שיש לקפיצה מטרה אבל לא הגעתי למסקנה
198,419:2022-10-08 19:12:03.972,כן קפיצת הכדורים ממקומם התרחשה כל פעם שלחצתי על המקש הנכון,אין לי שאלות או הערות מקווה שעזרתי ותודה,לדעתי לא הייתה חוקיות מסויימת ואם הייתה לא שמתי לב לכך,לא שמתי לב לאיזו שהיא חוקיות בהבזקים,כן שמתי לב שהם קפצו ממקומם,  ,לא הצלחתי לענות על השאלה הקודמת ראיתי את ההבזקים הלבנים ואני חושבת שהם מעט הטעו אותי כי המיקום שלהם היה לא באותו מיקום שהקלדתי ,לדעתי מטרת הניסוי הייתה לבדוק את ההתמודדות עם הסחות דעת והשפעתם על התגובה שלי,לדעתי מטרתם הייתה לנסות לבלבל ומעין הסחת דעת
199,420:2022-09-20 15:12:09.426,לא,לא,לדעתי לא,לדעתי לא,כן,כן,קצת הוציאו אותי מפוקוס,לבחון כיצד המשוב של העיגולים משפיע עלינו,לגרום למוח שלנו ללחוץ בפעם הבאה עם המקש שאליו העיגולים קפצו
200,422:2022-09-21 15:17:04.392,לא שמתי לב,לא אבל היה ממש נחמד,לא יודע,לא שידוע לי,נכון,כן,ברגע שהיה הבזק הבנתי שעשיתי נכון ,חשבתי שמדובר בבדיקת ריכוז וקליעה כמה שיותר,אין לי שמץ
201,424:2022-09-22 12:59:32.364,לא יודעת לומר,לא,מה שכתבתי לפני,יתכן שהיו הבזקים שרמזו על הכיוון בו יימצא העיגול הבא,כן,כן,הם הסיטו את הקשב שלי למקום אליו הובזקו,לבחון משהו שקשור לקשב,לרמוז על הכיוון שבו יופיע העיגול הבא או להסיח את דעתי
202,425:2022-09-22 12:23:32.338,לא ראיתי משהו מיוחד שהתרחש,אין,לא ראיתי חוקיות,לא שמתי לב,כן העיגולים הבזיקו בלבן וקפצו הצידה,כן ,אם הגבתי נכון בפעם הראשונה זה הבזיק בלבן,לבדוק ריכוז לאורך זמן,למשוך את התשומת לב
203,426:2022-09-22 16:54:57.356,לא שמתי לב לתופעה כזו,לא ,לא ,לא,כן רק כאשר הם היו לבנים, כן כאשר נלחצו העיגולים בזמן הנכון הם נעשו לבנים,הוציא מריכוז אבל גם עודד שהצלחתי להקליק בזמן,לבדוק יכולת ריכוז ותגובה מהירה ,לבלבל ולהוציא אותי מריכוז ולראות איך אוכל לחזור לריכוז 
204,427:2022-09-28 13:56:58.343,לא ששמתי לב,לא,מניחה שכן הייתה חוקיות אבל לא יודעת אותה,עכשיו כשאני חושבת על זה יכול להיות שזה הראה את הכדור הבא שיהיה,כן,כן שמתי לב,כשהצלחתי להתאים בין הכדור לצבע הנכון זה עשה הבזק לבן,בדיקת מהירות תגובה,לא יודעת
205,428:2022-09-28 10:54:58.673,לא ידוע לי,לא,לא,לא,כן,כן,לא היה,לא יודע,לבלבל
206,429:2022-09-28 23:15:16.918,לא שמתי לב,אשמח לשמוע מה מטרת הניסוי ואיך תרמתי למחקר,לא הייתה חוקיות,בפעמים שהצלחתי ההבזק היה הבזק שלקח את הנקודה טיפה הצידה,כן,כן,כשהצלחתי הנקודות הבזיקו ונעלמו,האם הסחת דעת משפיעה על הבחירה שלי,לבלבל
207,433:2022-10-07 16:36:07.952,חוקיות של צבעים ייתכן,אשמח לדעת מהי מטרת הניסוי והאם אפשר להסיק ממנו גם על אימפולסיביות או ריכוז,לא אני לא יודעת אם הייתה,ברגע שטעיתי הם הפסיקו,כן,לא,גרם לי להסתכל על העמודה השכנה,לבחון מה ההשפעה של איפוס כזה על יכולתי להצליח לדייק יותר בפעם הבאה,להסיט את מבטי 
208,434:2022-10-07 14:12:44.053,לא,לא,לא,לא,לא,לא ,לא,לראות האם הבנו את החוקיות,לאיודעת
209,436:2022-10-10 19:50:33.240,כן,מעניין אותי לדעת מה סימלו ההבזקים הלבנים,כן אני חושבת שהיא סימלה אם לחצתי בזמן או שהיא רימזה את הצבע הבא,אני מאמינה שכן אולי מה הולך להיות הצבע הבא גם עברה לי מחשבה בראש שברגע שלחצתי בזמן שלכאורה הוא הנכון ההבזק הלבן היה איפה שהכדור היה כשלחצתי את האות הנכונה,כן,כן,בעת שלחצתי על האות הנכונה הכדור הבזיק בלבן לעיתים הנחתי שההבזק מרמז לי איפה הכדור יצא בפעם הבא כי אחרי ההבזק הראשוני היו הבזקים במקומות שונים אבל לא ממש הצלחתי להבין מה הם מסמלים,מטרת הניסוי כמו שהסברתם קודם היא לבדוק למידה ממשוב אני מניחה שההבזקים סימלו משובים אני מודה שבעת  שראיתי שההבזק היה בדיוק על הכדור הרגשתי סיפוק כאילו עשיתי משהו נכון וכשההבזקים סטו ניסתי למצוא להם משמעות שהם אמורים לרמוז לי על הצעד הבא בנוגע לשאלה הקודמת הבחנתי שהיה אותו צבע ברצ,או לבלבל אותי או לסמל את הצבע הבא
210,440:2022-10-22 16:11:56.515,שמתי לב שאם טעיתי אז נוצרה לי אפשרות לנסיון נוס,אחלה ניסוי בהצלחה,לא חושבת שהייתה חוקיות לקפיצה חוץ מליצור הסחת דעת,אולי תגובה מהירה,כן ברור,כן,חשבתי שאולי לחצתי לא נכון כי ההבזקים זזו הצידה קצת אבל לא הפריע לי יותר מידי,לבדוק השפעה של הסחות דעת מסוימות על זמן תגובה,לבלבל 
211,442:2022-11-03 12:38:09.052,לא שידוע לי,לא,ככל שקפץ יותר כך זמן התגובה שלי היה ארוך יותר,יתכן ,כן,         כן,ההבזקים הופיעו ברגע שלחצתי על העיגול הנכון,לבדוק את זמן התגובה ושמירה על הריכוז לאורך זמן תוך כדי שימת לב למשתנים השונים ,לסמן תוך כמה זמן עניתי
212,443:2022-10-28 18:41:03.287,לא,לא,לא,לא,כן,לא,לא יודע,בדיקת מהירות תגובה,בלבול
213,444:2022-10-29 13:40:26.165,לא שמתי לב,לא,לא שמתי לב למשהו מיוחד,לא שמתי לב למשהו מיוחד,כן,כן,כשצדקתי בלחיצה היה הבזק לבן,לא יודעת,לבלבל לקראת הלחיצה הבאה
214,445:2022-10-30 12:54:11.712,לא שמתי לב ,לא,כן לפי סדר צבעים מסויים,לא ,לא, לא שמתי לב ,מהירות תגובה,לדעתי זה לבדוק את הדרל פעולה אנחנו חושבים לפי איך שאנחנו מגיבים לנקודות,לבדוק את זמן התגובה של המוח
215,447:2022-11-03 11:27:28.183,לא יודעת,לא,לא יודעת,אולי מהירות ,כן,כן,המקום שלחצתי שם הופיעו,לבדוק את מהירות התגובה לעומת שמאל וימין,כן ללכת למקום בו בדיוק התחלתי ללחוץ
216,448:2022-11-03 15:51:21.568,כן היו מבנים שחזרו על עצמם למשל לחיצה על עיגול ירוק על עיגול סגול על עיגול ירוק ואז על כתום ,לא,בעיגולים הירוק והסגול הייתה הטייה ימינה או שמאלה ובעיגול הכתום והכחול לא היו הטיות והייתה נפילה ישרה כביכול,כן תנועתיות של הכדורים  בכדורים הכחולים והכתומים היו בדרך כלל הבזקים לבנים בצורה ישרה אבל בכדורים הירוקים והסגולים היו הבזקים עם תנועתיות ימינה ושמאלה,כן,כן,בילבלו אותי בחלק מהמקרים גרמו לי להטות את המבט שלי,לבדוק קשב ותשומת לב לפרטים ולתבניות חזרתיות,לבלבל ולבדוק את הקשב של הנסיין
217,450:2022-11-07 10:14:37.493,אני חושבת שלפעמים היה פעמיים אס ואז פעמיים אל,לא,לא חושבת,לא,לא,  כן שמתי לב,זה בילבל אותי,לבדוק את הריכוז שלי ואת תשומת הלב לפרטים הקטנים,לא ראיתי אותה
218,452:2022-11-05 12:35:56.454,אותה אות יצרה כמה פעמים ברצ,לא,לא שמתי לב לאיזה כיוון קפצו העיגולים לכן לא יכולתי לדעת,לא,כן זזו ימינה ושמאלה כשלחצתי על האות,לא,ניסיתי למצוא תבנית לגבי סדר ירידת ההבזקים אבל לא הצלחתי,לבדוק אם אנשים מזהים תבניות או שינויים קלים במשהו רפטטיבי,אולי לכוון אותי לאות הבאה
219,453:2022-11-04 16:29:26.174,לא נראלי,לא,ככל שעניתי יותר מהר היו יותר קפיצות,לא,כן,כן,כהבתי יותר מהר ההבזקים שינו מיקום,לבחון אם אנשים נוטים לחשב רצפים ולנסות להסיק מכך מה יהיה הדבר הבא,העיד שעניתי מהר
220,455:2022-11-06 12:52:42.869,לא,לא,כן אבל בגלל שלא הבחנתי בכך אז אני לא יודעת להגיד מה החוקיות,לא,לא, כן,מעט בלבול,לבדוק ריכוז ממושך ולבדוק אם אנחנו מרוכזים בדבר מסויים אז אם נשים לב לדבר אחר במקביל,לבלבל
221,456:2022-11-04 14:45:50.051,חלק מהכדורים קפצו מהר יותר,לא ץ היה מעניין מאוד,להראות לנסיין מאיפה יגיע הכדור הבא,נדמה לי שהייתה חוקיות בלחיצת הכפתורים,כן עכשיו אני גם מבין על ההבזקים שהזכרתם,לא,לא היה קשר,לבחון קשר בין מהירות תגובה לביןעייפות,אולי לכוון על איפה יגיע הכדור הבא
222,457:2022-11-04 11:58:23.037,לא שמתי לב,לא,מהירות התגובה,מהירות התגובה,כן,כן,לא זיהיתי קשר,תפיסה ויזואליות אולי קשר עין יד,להסיח את הדעת
223,458:2022-11-04 11:21:18.825,כן,לא,כן אוטומתי,כן,כן,כן,שהיא נכונה,לבדוק אסטרטגיות,סתם
224,459:2022-11-04 17:06:32.970,לא יודע,לא,לא שמתי לב,לא,כן,כן,לחיצה,לא ברור לי בכלל,לסמן לחיצה מוצלחת
225,460:2022-11-18 09:10:24.272,אותו צבע חזר כמה פעמים ברצ,לא,לא,אולי לפי זמן תגובה,כן, כן  ,זה הפריע לי,לבדוק קשר בין צבע לתגובה,לראות אם אני אלחץ על עוד כפתור
226,464:2022-11-12 09:32:43.598,לא שמתי לב,לא,לא חושבת,לא,כן,כן,כשפגעתי בעיגולים לפני שהם נגעו בחלק  התחתון הם הבזיקו בלבן ,האם אפשר ללמוד מהשגיאות ולצפות את מהלך המשחק  בדיקת שיפור,לא בטוחה
227,465:2022-11-07 22:24:53.626,חזרה על צבע מסוים כמה פעמים,לא מרגישה שהיה יותר קשה להצליח באמצעים,אחרי כל 3 פעמים בערך זה קרה,אולי אחרי כמה פעמים של הצלחה זה קורה,כן,כן ,לא מרגישה שהם בלבלו אותי,לבדוק עירנות והאם המוח מתרגל או גמיש,לבלבל אותי לחשוב שזה יהיה בצבע אחר
228,467:2022-11-06 19:07:11.855,לא שמתי לב,לא,לא ראיתי חוקיות חוץ מזה שלחצתי,לא יודע,כן,כן,שהצלחתי הם הבזיקו,לבדוק את הריכוז שלי,להסב את תשומת ליבי
229,468:2022-11-06 12:17:53.248,לא שאני שמתי לב,לא נראה לי,לא הרגשתי שינשה חוקיות,לא שמתי לב לחוקיות,כן,כן ,אולי מהירות תגובה,לבדוק את התגובה כלפי סדר משתנה של אובייקט,לבלל
230,470:2022-11-10 13:47:27.438,לא ראיתי,לא,לא,לדעתי כן,כן,לא,תגובה מהירה יותר,לבחון את זמן התגובה ולבדוק האם יש לנו שיטה מסויימת כדי להגיב יותר מהר,לעזור לנו להגיב יותר מהר
231,471:2022-11-10 12:56:25.940,לא שמתי לב,לא,לא,כשלחצתי נכון היה הבזק,כן,כן,כשהיה הבזק הבנתי שלחצתי נכון על המקש וזה היה מרגיע,אולי ריכוז לטווח ארוך,לדעת שלחצתי נכון
232,472:2022-11-13 00:15:54.381,לא יודעת,לא,לא ,מהירות,כן,כן,לא יודעת,לבדוק זמן תגובה,לבלבל לקראת העיגול הבא
233,473:2022-11-10 15:51:10.580,לא יודע,לא,לא יודע,לא,כן,כן,לא יודע,לא יודע,לא יודע
234,474:2022-11-10 17:45:32.333,לא בטוחה,יד ימין דומיננטית לכן אני מניחה שזמן תגובה ביד ימין מהיר יותר וכן יותר דיוק במענה,בדיוק באמצע,נראה היה שהיו דפוסים שחזרו על עצמם למשל ירוק ירוק ירוק אדום,כן,  ,הם משכו את תשומת ליבי ולכן הגבתי,לבדוק קשב פיצול קשב וקשב ממוקד אולי ,להסב את תשומת ליבי להבזק שליד ולהסיט את תשומת ליבי מההבזק שעומד להגיע מהצד השני
235,476:2022-11-10 17:01:17.873,לא,לא,לא,לא,כן,לא,לא שמתי לב,קשב,כל פעם שצדקתי
236,477:2022-11-14 19:59:33.101,חזרתיות,לא בהצלחה,לא,לא,כן,כן,ההבזקים בלבלו והאטו את תגובותי,בדיקת השפעת הצבע על מהירות התגובה,הטעיה
237,478:2022-11-13 23:01:09.809,הכחול חזר על עמו מספר פעמים,לא,כשהיה את אותו הצבע פעם אחר פעם העיגול לא קפץ,לא יודעת,כן,כן,הכניסו אותי לריכוז,לבחון את הריכוז והיכולת לצפות את ה צעד הבא,לסמן על הכיוון שממנו יגיע הכדור הבא
238,480:2022-11-10 20:46:43.655,לא יודעת,לא עניתי על כמה שאלות בחלק זה בהתחלה כי ישר לחצתי אנטר וחשבתי שתופיע תיבת כתיבה לתשובה ואז כבר לא יכולתי לחזור אחורה אז הייתי ממליצה או לציין משהו כזה או לגרום לשאלות לא לעבור הלאה בלי תשובה כתובה,לא שמתי לב לכזו,לא ,כן,  ,לא היה קשר,לראות אם מזהים חוקיות בעיגולים שיופיעו והאם זיהי החוקיות יעזור ללחוץ מהר יותר על הלחצן הנכון,לבלבל את הראייה ואת הרפלקסים של הלחיצה המהירה
239,481:2022-11-29 14:34:40.988,לא שמתי לב,מעניין הניתוח של התוצאה שלי,כאשר תפסתי אותם למעלה,לא,כן,כן כאשר פגעתי ,כאשר קדתי את האות המתאימה,תגובה מהירה ,תוצאה טובה
240,483:2022-12-02 16:56:51.092,לא,לא,לא הייתה חוקיות,לא,כן,כן ,כשצדקתי העיגול הפך לבן,לבדוק מהירות תגובה,לא יודע
241,483:2023-02-17 16:36:25.442,לא,ניסוי טוב מאוג,לא יודע,לדעתי לא,כן,כן,כשצדקתי בלחיצה על המקש הנכון,לבדוק מהירות תגובה,להראות לי של חצתי נכון
242,485:2022-12-31 17:17:26.609,היה פתאום 3 רצו מאותה נקודה,לא,כן מהירות התגובה שלי,לא ששמתי לב,כן,  כן,בלבל אותי ,לבדוק מהירות תגובה,להטעות אותי
243,486:2023-01-19 19:25:17.761,לא ברור היו רצפים,לא,בכל פעם שהתשובה היתה נכונה הכדור הבזיק וקפץ למקום רנדומלי,כן,כן,כן,מידת ההצלחה,קשר עין ויד,לא ברור
244,487:2023-03-02 12:40:16.184,לא הבחנתי,לא,לא,לא,כן, כן ,הסחת דעת,לבדוק את דיוק המענה לאורך זמן ולראות כיצד משפיעים המסיחים ההבזקים והתזוזות לאורך זמן על נכונות המענה,להסיח את הדעת
245,488:2023-01-30 17:45:28.452,לאותיות אל ואס הייתה חזרתיות,לא,לא,לאן שהבצע הלבן פנה שם היה התגובה הבאה,לא,כן,במידה ולחצתי בזמן בין השורות וקלעתי אז היה הבזק לבן,זמן תגובה בדיקה של חזרתיות ותשומת לב לפרטים הקטנים בין לחיצה ללחיצה,לא יודע
246,489:2023-03-06 15:56:38.368,לא ,חא,לא,זה הופיע  רק כאשר הצלחתי ללחות על המקש הנכון לפני שהיעוגול הגיע לתחתית,לא,כן,כאשר היה הבזקים לבנים זה אומר שלחצתי על המקש הנכון,לבחון אם בעת ביצוע פעולה  ובעת ריכוז בה אנחנו יכולים לשים לב לדברים אחרים,לבלבל 
247,490:2023-03-08 20:05:43.693,לא,לא,   מעבר לצבע הבא,לדעתי יש,כן,כן,לא יודעת,קשר עין יד,לרמז איפה יפול העיגול הבא
248,491:2023-03-16 15:01:20.082,חזר כמה פעמים באותו הטור,מעניין מאוד קליל ואני אשמח לפרסום מסקנות המחקר,מהירות,הכדור ירד מהר יותר,לא,כן,מהיר יותר,לבחון מהירות תגובה,להסב את תשומת ליבי
249,492:2023-03-16 14:03:03.846,לא שמתי לב,אין לי שאלות,לא יודעת,לא יודעת,כן,כן,האטו את זמן התגובה שלי נראלי,אולי לבחון זמן תגובה ומהירות ידיים,אין לי מושג אולי לבלבל
250,493:2023-03-20 11:49:01.753,לא,לא,טעות,לא,לא,כן,עזרו לי להבין שהצלחתי,מהירות תגובה,טעות
251,494:2023-03-20 13:52:54.441,אני חושבת שכן ,לא ,יכול להיות שהייתה חוקיות אבל התרכזתי בלהתאים את הצבע לספרה במקלדת שלא שמתי לב מה הייתה החוקיות אם בכלל,אני לא חושבת,כן ,כן,לא יודעת,להבין האם אפשר להתרכז בתשובות נכונות ולשים לב לדברים נוספים במקביל,אולי כדי להתריע על האיזור שממנו ירד העיגול הבא
252,495:2023-03-26 14:10:33.069,לא,לא,שענו תשובה נכונה הכדורים קפצו,שלחצתי במהירות ,כן, כן,הצלחה,הבחנה ולחיצה מהירה,תשובה נכונה
253,496:2023-04-29 13:11:46.701,לא יודעת,לא,לא שמתי לב,יכול להיות לא שמתי לב,כן,כן ,לא שמתי לב למשהו מיוחד,כנראה היה קשר לעיגולים הלבנים ושם מטרת הניסוי אבל אני לא ייחסתי להם חשיבות אז קשה לומר ,אין לי שמץ
254,498:2023-04-24 20:45:46.060,לא שמתי לב,לא,לא שמתי לב לחוקיות מסוימת,כן,כן,כן ,ההבזק בא לאחר לחיצה נכונה על המקשים  ,לבדוק את מהירות האבחנה וחדות הראייה,לבלבל בין מיקומי הכדורים
255,500:2023-04-24 11:19:30.854,לא שמתי לב,לא,כניראה שכן,כן,כן,כן,כשצדקתי אז זה הופיע בלבן,עם העיגולים הלבנים לראות אם אני אשים לב לחוקיות או משהו שגורם להם להופיע,לא יודעת
256,502:2023-04-24 13:23:19.809,לפעמים הייתה חזרה על אותו צבע ואותה אות,אשמח לדעת את מטרת הניסוי המדוייקת ותוצאותיה ,לא ידוע לי,לא יודעת,כן, כן,לעיתים ההבזקים בלבלו אותי,לבדוק יכולת ריכוז תוך הסחות דעת שונות,להסיח את הדעה
257,504:2023-04-24 16:29:42.065,שילובי צבעים שגרמו לי להתרגל אליהם ואז קפיצה לצבע שאני לא אצפה לו,אולי לפרט או לדייק יותר בעת שאילת שאלה פתוחה,אולי תלוי מהירות תגובה,אולי,כן,כן,שמתי לב שזה נשלח לאמצע אולי זה עיכב את התגובה שלי בכך ששמתי לב לזה,אולי לבדוק איך דברים מסוימים משפיעים על מהירות התגובה שלי,לבלבל אולי או למשוך תשומת לב
258,506:2023-04-24 07:00:20.306,לא,לא,לא יודעת,לא יודעת,לא,לא ,כן,לבדוק האם אנחנו שמים לב לחוקיות כשאנו ממש מתרכזים במשהו,ללמוד האם הבנו את החוקיות
259,508:2023-04-24 13:40:10.569,לא,לא,לא,לא,כן,כן,לא הרגשתי שהיה קשר ישיר אבל היה מספק שזה הבזיק באותו טור,לבדוק השפעה של מיקום הבזקים לחיזוי לחיצות עוקבות,לבלבל לקריאת הלחיצה העוקבת
260,512:2023-04-24 01:01:39.087,לא שמתי לב למשהו מיוחד,לא תודה רבה,לא חושבת,לא יודעת,כן,כן,לא יודע,מהירות וזיכרון,סימון תשובה נכונה
261,514:2023-04-25 13:32:07.307,לא יודע,לא,כן לא בטוח מהי,כן ,בהחלט,כן,במקרה שלי לא היה שום קשר,לבדוק תגובות בהתאם לביקורת על פעולה,היסח דעת ושכנוע של המוח לתשובה הבאה
262,515:2023-07-20 09:01:19.290,לא,לא,לא,לא הצלחתי לזהות חוקיות,לא רק שלחצתי נכון זה קפץ,  ,לא יודע,אין לי מושג בגדול הבנתי שזה ניסוי שמדבר על קשר בין קוגניציה ומיומנות,לא יודע
263,517:2023-07-18 17:53:42.324,לא שמתי לב,לא,לא שמתי לב לחוקיות אבל הבחנתי בכך שהעיגולים קפצו,לא שמתי לב לכך,כן, כן ,לא הבחנתי בקשר ביניהם אבל שמתי לב להבזקים,אינני יודע מניח שלבחון ריכוז והסחות דעת,להסיח את דעתי
264,517:2023-07-19 13:54:23.805,כן מעבר מימין לשמאל,אין שאלותהניסוי היה מעניין ותודה,לא,הקשה שגויה,לא,כן שמתי לב,הקשר הוא שאומר שפספסתי,לבדוק את התגובות וערנות,אולי הקשה שגויה
265,521:2023-07-18 18:17:40.592,לא,היה מאוד מהנה,לא,מהירות התגובה,כן, כן,זה יכל לבלבל לפעמים,לבדוק את מהירות התגובה,לבלבל
266,525:2023-07-20 19:07:40.922,כן,הניסוי היה מאוד מהנה,לא,כן,כן,כן,ההבזקים בלבלו אותי,לבדוק את מהירות התגובה של אדם כאשר הוא מוסח דעת ,לבשר על המיקום הבא
267,527:2023-07-19 13:20:27.509,לא שמתי לב,אין,כן הייתה בתחילה חשבתי שזהו משהו שקשור לקצוות כלומר במקשים הקיצוניים יש קפיצה ובפנימיים אין אבל לדעתי החוקיות הזאת השתנתה,כן אבל לא הצלחתי לשים לב בדיוק למה היא ,כן,כן,כאשר הצלחתי ללחוץ נכונה ולעצור את הכדור הכדור הבזיק בלבן,לבדוק האם שמים לב לפרטים הקטנים והאם מתחשבים יותר בנכונות או מהירות,לבלבל
268,529:2023-07-20 07:25:09.821,לא שמתי לב,לא היה נחמד תודה,כן חוץ מבימני בכולם זה זז ימינה,בחלק היו מימין ובורוד משמאל,כן,כן,לא נראה לי שיש,לבדוק ריכוז תוך הסחות דעת,הסחת דעת
269,531:2023-07-19 15:03:50.170,לא,היה ניסוי נחמד,לא שמתתי לב,לא שמתי לב,לא,לא,לא שמתי לב להבזקים,מהירות תגובה,לא שמתי לב אבל אולי לבלבל אותי
270,537:2023-07-19 17:54:38.530,לא שמתי לב,לא,קפיצה לכיוון הבא ממנו יגיע הכדור כמו שרשמתי מוקדם יותר הכדור הלבן התחיל תמיד מאיפה שהעיגול ירד ולאחר מכן קפץ הצידה,אני חושבת שלעיתים הכדור הלבן נטה לכיוון שינוי התנועה שלו אבל המגמה הזו לא תמיד התקיימה ,כן,כן ,ציפיתי שהכדור הבא יגיע מהכיוון אליו נטה הכיוון הלבן למרות שלא תמיד זה היה המקרה,לבדוק קשב,להסיח דעת
271,539:2023-07-19 19:13:42.534,לא יודע,לא,לא יודע,לא יודע,לא ,כן,לא היה קשר,לא יודע,לא יודע
272,541:2023-07-19 14:05:17.778,לא,לא,לא,לא,כן,כן,אם התגובה הייתה נכונה היה הבזק,לא יודעת,להסיט את המבט
273,545:2023-07-22 12:41:27.844,לא שמתי לב,לא,לא ,אולי קשור לתשובה של ההבזק שלפניו,כן,כן,קשור למהירות התגובה,לבדוק צייתנות או מהירות תגובה,שאשים לב
274,547:2023-07-19 12:55:52.670,לא שמתי לב,לא,לא,לא,כן,כן,ההבזקים קצת בלבלו אותי ועכבו את משך התגובה שלי,לבדוק את יכולת הריכוז של הנבדקים,לבלבל אותי
275,549:2023-07-19 17:57:30.951,לא יודע,לא,לא יודע,לא יודע,כן,לא,לא היה הבדל,בדיקת ערנות לסביבה תוך כדי עשיית המשימה,להסב תשומת לב
276,553:2023-07-20 21:48:27.286,כןן,ניסוי מעניין,לא,לא,כן,כן ,ציפיצי שהכדור הבא יהיה במקום שהגדור הלבן זז,להשוות בין ציפיות של הנסיין מה יהיה כדור הבאה לתגובתו,אולי קשר לאיזה טווח של זמן לחצתי על כפתור מסויים ככל שהלחיצה ארוכה יותר הקפיצה הייתה חזקה יותר
277,555:2023-07-19 16:17:36.936,הרגיש שהיה מן סדר קבוע ,לא,לא ששמתי לב לחוקיות כזאת,הם זזו הצידה בהתחלה גרם לי לחשוב שאולי רומז משהו,היה איזה מין קפיצה הצידה,כן ,בלבל אותי קצת,לבדוק את הקשר בין דברים חיצוניים על למידה,לא ככ היה לי ברור
278,557:2023-07-20 21:48:49.984,לא שמתי לב,תודה רבה נהניתי בהצלחה בהמשך,לדעתי זה היה אקראי,ברגע שלחצתי על אות במקדלת העיגול נהיה לבן וזז הצידה,כן,כן רק ברגע של לחצתי על הכפתור,קודם לחצתי את האות במקלדת ואז היה הבזק,לבדוק האם אני משתפר במהלך הניסוי,להסיט את תשומת ליבי ולא לתת מנוחה קצרה לקראת הופעת עיגול הבא
279,6733:2023-02-12 19:58:28.213,לא,לא,כן הייתה תזוזה הצידה לאחר ההבזק כשבתגובה הייתה נכונה,כן,כן,כן,אם התגובה הייתה נכונה אזי היה הבזק,לבדוק האם היה קשר בין תגובה לדיוק לבין מהירות,להיות מסיח כביכול התגובה לא הייתה נכונה
280,7201:2022-11-28 12:10:12.571,לא שמתי לב לדפוס הטעויות שלי לא היו במספר מסויים של צעדים,היה מעניין ומפתיע,בנפילה לא עקבי בהבזק לא עקבי,לא בעקביות,לא,כן,תחושת עידוד,לבדוק הרגלי האצבעות וזמן תגובה ואם אתייאש כאשר ראיתי שטטעיתי,בהתחלה חשבת לעודד אבל לא היה עקבי
281,8962:2023-01-24 10:25:12.681,לא שמי לב,לא,לא ששמתי לב,לא חוב,כן,כן,אם התגובה הייתה הירה מספק היה הבזק לבן,זיהוי מגמות אולי,אין ל מושג
